A_k,Distance,H_absolute,J_absolute,K_absolute,K_apparent,Teff,[Fe/H],logg
0.157896,1.6506403265096343,-0.8341558270731779,-0.3982627277302474,-0.9051582553832693,10.341,5099.89130924,-1.46264814581,2.55993831795
1.15484,2.543457515009644,-3.518124661549814,-2.937241591975546,-3.61996243865351,9.562,3542.01848964,0.00031913004549,0.672490232544
0.997866,6.323880543921489,-5.255297738738041,-4.428920112204808,-5.5457842882697745,9.457,3603.21795829,0.0935757992329,0.545973197348
0.166158,1.8278618430402713,-1.15272096400929,-0.7359765821292542,-1.2218748347988635,10.254,5288.0705449,-1.33936008566,2.4758240241
1.02632,6.01704898805482,-4.884594992727935,-4.057961903572426,-5.108237736663267,9.815,3716.01157743,-0.0983379798567,0.76115162182
1.16035,7.270849360528808,-5.836778765396006,-4.950180364028989,-6.102275734518456,9.366,3535.40537974,-0.351041012094,0.312849088404
0.25245,nan,nan,nan,nan,9.917,4511.66682057,0.392177516347,2.29321965706
0.159732,1.1641321174071888,0.20300649362479672,0.6266274235452345,0.13625664394236092,10.626,4922.78719787,-1.0751139805,2.95879273163
0.173502,1.0123314284377174,-0.7362158693813595,-0.181075249324741,-0.8291155999553138,9.371,4865.10583699,0.0145253124084,2.64057290888
1.20074,2.863542031271328,-4.29813557640319,-3.5160492924603637,-4.514257810505405,8.971,3788.70180663,0.140990032546,0.984134767926
0.526932,1.0471367503304194,-0.2611173263039487,0.20119269582448743,-0.3399490093289376,10.287,5174.98524634,-0.297274258265,2.8546606551
1.4587,6.085779597117197,-5.4654492988190855,-4.604111223989011,-5.741281099386891,9.639,3541.29676317,-0.11126000201,0.49834342135
0.95931,1.4079331344248167,-3.2111912198233084,-2.6352069477444844,-3.311220148888817,8.391,3542.9225411,-0.0819566016129,0.65076980742
1.27877,1.3524284530181885,-4.270681761142854,-3.483869591438951,-4.491341495394736,7.443,3787.57477747,0.234163406418,1.03600673146
0.24327,nan,nan,nan,nan,9.762,4629.62868688,0.332766612116,2.61192405099
1.63863,5.098002800231226,-5.739414269985627,-4.888273187859209,-6.031630348413041,9.144,3474.44954146,-0.212691701255,0.271928533569
0.28917,nan,nan,nan,nan,10.103,4854.44930502,0.338140364784,2.69666143435
1.02816,4.707627542225691,-4.031119345231283,-3.244374256870152,-4.227170475237965,10.165,3841.24161122,0.165561856275,1.20065880043
0.898722,2.946930110494224,-4.466728234791337,-3.6363749574573836,-4.68457118113863,8.561,3711.14260312,0.110382293154,1.00838329947
0.75735,3.039618620240832,-4.513771867257757,-3.710330302780197,-4.735445481340943,8.436,3724.95637296,0.112705482896,0.911575631813
0.713286,2.4717346424090487,-3.6232766170561783,-2.8622598792992986,-3.806295222206586,8.872,3921.76303928,0.206162520831,1.39312212653
1.66525,3.0256669920238943,-4.957846361085576,-4.137871804440795,-5.204355637132359,8.865,3625.78198395,0.0108971352295,0.668451622418
0.0504902,0.594835293780828,1.263633613052771,1.6902721587745004,1.194526155428294,10.117,5203.85047282,-0.0610890412445,3.49700833515
1.86813,1.9007019464741048,-3.7592929019487955,-3.1967250375918197,-3.855700097346132,9.407,3405.83609218,-0.384366395498,0.142107104522
